"City Council District","Agency","Site","Address","Borough","Environmental Justice Area","Installation Date","Installed or Estimated Capacity","Percentage of Max Peak Demand","Estimated Annual Production","Percentage of Annual Electricity Consumption","Estimated Annual Emissions Reduction","Estimated Social Cost of Carbon Value","Estimated Annual Energy Savings","Upfront Project Cost","Financing Mechanism","Status","Solar-Readiness Assessment","Total Gross Square Footage","Roof Condition","Roof Age","Other Sustaibility Projects","Year of Report","Data Current as of","Postcode","Latitude","Longitude","Community Board","Census Tract","BIN","BBL","NTA"
"8","DCAS","Harlem Courthouse","170 East 121st St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","25,700 GSF","Fair","> 20 years","No","2022","07/07/2022","10035","40.801423","-73.938373","111","196","1054382","1017690045","East Harlem North"
"8","DCLA","Museum of the City of New York","1220 5th Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","113,915 GSF","Good","10 to 14 years","No","2022","07/07/2022","10029","40.792438","-73.952448","111","168","1074157","1016090001","East Harlem South"
"8","DEP","Wards Island WRRF - Cake Storage","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","50,625 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Dewatering","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","110,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Dewatering: A1","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","39,839 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Dewatering: A2","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,286 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Dewatering: A3","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","12,344 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Digester","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","141,043 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - E Battery Control","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","18,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Hypo Facility","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","67,944 GSF","Unknown","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Manhattan Grit Chamber","432 East 110th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","22,000 GSF","Good","Unknown","No","2022","07/07/2022","10029","40.791657","-73.936988","111","162","1089063","1017010029","East Harlem South"
"8","DEP","Wards Island WRRF - Marine Building","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","20,000 GSF","Unknown","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - New Administration Bldg","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","12,020 GSF","Unknown","Unknown","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Old Administration Building","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","12,720 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Pump And Blower","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","46,324 GSF","Unknown","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DEP","Wards Island WRRF - Residuals Handling Building","7 Wards Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","17,500 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.792839","-73.922819","111","240","1000000","1018190015","park-cemetery-etc-Manhattan"
"8","DHS","Clarke Thomas Building","121 Hell Gate Circle, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","30,500 GSF","Unknown","Unknown","No","2022","07/07/2022","10035","40.786761","-73.928799","111","240","1088074","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","Help USA Support Employment Center","111 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","90,010 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10035","40.786373","-73.931656","111","240","1088087","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","HS Cottage 1","124 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,500 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10022","40.786207","-73.934274","111","240","1088088","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","HS Cottage 2","125 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","14,500 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10022","40.786566","-73.933985","111","240","1088089","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","HS Cottage 3","126 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","11,500 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10022","40.786978","-73.933638","111","240","1088090","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","HS Cottage 4","127 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","12,100 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10022","40.787442","-73.933236","111","240","1088091","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","Keener Assessment Shelter","64 Sunken Garden Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","78,500 GSF","Unknown","Unknown","No","2022","07/07/2022","10035","40.785494","-73.931397","111","240","1085877","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","Schwartz Homeless Shelter","65 Charles Gay Loop, Ward's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","57,430 GSF","Unknown","Unknown","No","2022","07/07/2022","10035","40.784296","-73.932546","111","240","1088065","1018190010","park-cemetery-etc-Manhattan"
"8","DHS","Transitiol Housing Office","346 Powers Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","72,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10454","40.807944","-73.91216","201","33","2091301","2025720006","Mott Haven-Port Morris"
"8","DOE","M007","160 East 120 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","102,200 GSF","Fair","> 20 years","No","2022","07/07/2022","10035","40.801007","-73.939349","111","196","1083501","1017680021","East Harlem North"
"8","DOE","M013","1573 Madison Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","180,175 GSF","Fair","> 20 years","No","2022","07/07/2022","10029","40.793763","-73.949381","111","17401","1051515","1016120050","East Harlem South"
"8","DOE","M038","232 East 103 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","85,280 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10029","40.788952","-73.944538","111","164","1052384","1016520016","East Harlem South"
"8","DOE","M045","2351 1st Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","210,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10035","40.798884","-73.933319","111","194","1054786","1017970100","East Harlem North"
"8","DOE","M050","433 East 100 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","141,600 GSF","Under Construction","Under Construction","No","2022","07/07/2022","10029","40.785258","-73.941526","111","162","1083933","1016940001","East Harlem South"
"8","DOE","M057","176 East 115 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","109,300 GSF","Fair","> 20 years","No","2022","07/07/2022","10029","40.797577","-73.94128","111","182","1083184","1016400139","East Harlem North"
"8","DOE","M072","131 East 104 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","88,900 GSF","Fair","> 20 years","No","2022","07/07/2022","10029","40.791179","-73.947776","111","166","1081340","1016320011","East Harlem South"
"8","DOE","M083","219 East 109 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","94,900 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10029","40.793194","-73.942548","111","180","1052436","1016590012","East Harlem North"
"8","DOE","M096","216 East 120 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","94,900 GSF","Fair","> 20 years","No","2022","07/07/2022","10035","40.800256","-73.937558","111","194","1074333","1017840012","East Harlem North"
"8","DOE","M101","141 East 111 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","142,925 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10029","40.79564","-73.94441","111","172","1081346","1016390003","East Harlem South"
"8","DOE","M102","315 East 113 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","82,880 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10029","40.794869","-73.938711","111","180","1081366","1016840101","East Harlem North"
"8","DOE","M107","1680 Lexington Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","18,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022","10029","40.791881","-73.946558","111","172","1051991","1016330013","East Harlem South"
"8","DOE","M108","1615 Madison Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","105,725 GSF","Fair","> 20 years","No","2022","07/07/2022","10029","40.795146","-73.948368","111","17401","1051584","1016140021","East Harlem South"
"8","DOE","M146","421 East 106 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","91,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10029","40.789295","-73.939262","111","162","1052999","1017000001","East Harlem South"
"8","DOE","M155","319 East 117 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","104,500 GSF","Fair","> 20 years","No","2022","07/07/2022","10035","40.797302","-73.936365","111","188","1052986","1016890005","East Harlem North"
"8","DOE","M171","19 East 103 St","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","95,000 GSF","Good","5 to 9 years","No","2022","07/07/2022","10029","40.792122","-73.951961","111","168","1051497","1016090007","East Harlem South"
"8","DOE","M435","280 Pleasant Ave","Manhattan","No",,,,,,,,,,,"Not Solar Ready","No","275,000 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10029","40.794476","-73.933565","111","178","1053152","1017130001","East Harlem North"
"8","DOE","M495","234 East 105 St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","66,060 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","10029","40.790516","-73.944291","111","170","1075643","1016540033","East Harlem South"
"8","DOE","X005","564 Jackson Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","103,280 GSF","Fair","> 20 years","No","2022","07/07/2022","10455","40.813728","-73.908886","201","73","2004548","2026420001","Melrose South-Mott Haven North"
"8","DOE","X025","811 East 149 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","72,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10455","40.812619","-73.906063","201","79","2004772","2026640001","Melrose South-Mott Haven North"
"8","DOE","X027","519 St Anns Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","86,500 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10455","40.813517","-73.913402","201","43","2000114","2022740023","Mott Haven-Port Morris"
"8","DOE","X030","510 East 141 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","100,900 GSF","Between Good and Fair","10 to 14 years","No","2022","07/07/2022","10454","40.80937","-73.917584","201","39","2000077","2022670015","Mott Haven-Port Morris"
"8","DOE","X040","468 East 140 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","108,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10454","40.809534","-73.919903","201","39","2000308","2022840034","Mott Haven-Port Morris"
"8","DOE","X043","165 Brown Pl","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","116,460 GSF","Fair","> 20 years","No","2022","07/07/2022","10454","40.806351","-73.921196","201","25","2000205","2022800040","Mott Haven-Port Morris"
"8","DOE","X049","383 East 139 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","136,925 GSF","Poor","> 20 years","No","2022","07/07/2022","10454","40.810085","-73.923102","201","39","2000626","2023020040","Mott Haven-Port Morris"
"8","DOE","X065","677 East 141 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","91,300 GSF","Fair","> 20 years","No","2022","07/07/2022","10454","40.807335","-73.912731","201","33","2003834","2025710001","Mott Haven-Port Morris"
"8","DOE","X073","1020 Anderson Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","92,400 GSF","Fair","> 20 years","No","2022","07/07/2022","10452","40.832706","-73.926838","204","189","2003051","2025040082","Highbridge"
"8","DOE","X149","360 East 145 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","159,600 GSF","Fair","> 20 years","No","2022","07/07/2022","10454","40.813983","-73.920782","201","43","2097038","2023060054","Mott Haven-Port Morris"
"8","DOE","X154","333 East 135 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","105,725 GSF","Poor","> 20 years","No","2022","07/07/2022","10454","40.808034","-73.926204","201","23","2097030","2022980001","Mott Haven-Port Morris"
"8","DOE","X155","470 Jackson Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","201,775 GSF","Fair","> 20 years","No","2022","07/07/2022","10455","40.811162","-73.909804","201","35","2003910","2025780027","Mott Haven-Port Morris"
"8","DOE","X161","620 Tinton Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","104,525 GSF","Between Fair and Poor","10 to 14 years","No","2022","07/07/2022","10455","40.81479","-73.905565","201","79","2004773","2026640029","Melrose South-Mott Haven North"
"8","DOE","X183","339 Morris Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","194,400 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10451","40.813641","-73.925313","201","51","2000957","2023330070","Mott Haven-Port Morris"
"8","DOE","X807","501 Courtlandt Ave","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","24,000 GSF","Fair","> 20 years","No","2022","07/07/2022","10451","40.815396","-73.920083","201","65","2000876","2023290075","Melrose South-Mott Haven North"
"8","DOE","X855","577 East 139 St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","14,460 GSF","Fair","> 20 years","No","2022","07/07/2022","10454","40.807275","-73.916445","201","2702","2003646","2025520070","Mott Haven-Port Morris"
"8","DOHMH","Animal Shelter - Manhattan","326 East 110th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","14,077 GSF","Good","10 to 14 years","No","2022","07/07/2022","10029","40.792844","-73.939771","111","180","1052845","1016810037","East Harlem North"
"8","DOHMH","East Harlem Health Center","158 East 115th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","47,349 GSF","Good","10 to 14 years","No","2022","07/07/2022","10029","40.797755","-73.941699","111","182","1052229","1016400147","East Harlem North"
"8","DPR","Icahn Stadium","20 Randall's Island","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","26,000 GSF","Fair","10 to 14 years","No","2022","07/07/2022",,,,,,,,
"8","DSNY","Manhattan 11 District Garage","343 East 99th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","47,000 GSF","Poor","> 20 years","No","2022","07/07/2022","10029","40.785732","-73.94462","111","164","1089407","1016710020","East Harlem South"
"8","FDNY","Building 8 - Haz Mat Ops","8 Cammarata Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","10,882 GSF","Between Fair and Poor","Unknown","No","2022","07/07/2022","10035","40.790777","-73.916837","111","240","1088014","1018190040","park-cemetery-etc-Manhattan"
"8","FDNY","Building 11 - Administration","11 Reilly Blvd","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","42,554 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.791566","-73.918982","111","240","1088010","1018190040","park-cemetery-etc-Manhattan"
"8","FDNY","Building 6 - Fleet Services Workshop","20 Reilly Blvd","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","14,730 GSF","Poor","> 20 years","No","2022","07/07/2022","10035","40.791148","-73.918058","111","240","1088016","1018190040","park-cemetery-etc-Manhattan"
"8","FDNY","Building 7 - Mask Services Unit","4 Cammarata Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","18,359 GSF","Between Good and Fair","Unknown","No","2022","07/07/2022","10035","40.791205","-73.917386","111","240","1088013","1018190040","park-cemetery-etc-Manhattan"
"8","FDNY","Building 9 - Administration","9 Reilly Blvd","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","41,224 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10035","40.792011","-73.92009","111","240","1088009","1018190040","park-cemetery-etc-Manhattan"
"8","FDNY","Engine Co. 35 and Ladder Co. 14, Batt. 12","2282 3rd Ave","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","10,900 GSF","Between Fair and Poor","15 to 19 years","No","2022","07/07/2022","10035","40.803129","-73.936244","111","196","1054465","1017730033","East Harlem North"
"8","FDNY","Engine Co. 60 and Ladder Co. 17, Batt. 14","341 East 143rd St","Bronx","Yes",,,,,,,,,,,"Not Solar Ready","No","11,250 GSF","Between Fair and Poor","> 20 years","No","2022","07/07/2022","10454","40.813024","-73.922395","201","41","2000656","2023060052","Mott Haven-Port Morris"
"8","FDNY","Engine Co. 91","242 East 111th St","Manhattan","Yes",,,,,,,,,,,"Not Solar Ready","No","12,298 GSF","Fair","15 to 19 years","No","2022","07/07/2022","10029","40.794327","-73.941345","111","180","1052473","1016600030","East Harlem North"
